Taken by Alex and Dennis 2/20/15

AccelX, AccelY, AccelZ, Roll, Pitch, Heading
2.040, 1.138, -8.826, 7.158, 167.090, 0.000
2.040, 1.177, -8.865, 7.371, 167.151, 0.000
2.040, 1.098, -8.865, 6.885, 167.137, 0.000
2.040, 1.216, -8.983, 7.520, 167.318, 0.000
2.079, 1.098, -8.904, 6.849, 166.953, 0.000
2.079, 1.138, -8.904, 7.092, 166.960, 0.000
2.040, 1.138, -8.944, 7.069, 167.252, 0.000
2.040, 1.216, -8.983, 7.520, 167.318, 0.000
2.040, 1.138, -8.865, 7.128, 167.144, 0.000
2.040, 1.216, -8.865, 7.614, 167.159, 0.000
1.961, 1.177, -8.826, 7.416, 167.578, 0.000
2.001, 1.098, -8.865, 6.891, 167.377, 0.000
2.040, 1.098, -8.787, 6.942, 167.028, 0.000
2.079, 1.098, -8.865, 6.878, 166.899, 0.000
2.040, 1.177, -8.904, 7.341, 167.205, 0.000
2.001, 1.138, -8.826, 7.165, 167.330, 0.000
2.040, 1.138, -8.787, 7.188, 167.035, 0.000
2.079, 1.098, -8.865, 6.878, 166.899, 0.000
2.079, 1.138, -8.865, 7.121, 166.906, 0.000
2.079, 1.177, -8.983, 7.273, 167.076, 0.000
2.157, 1.098, -8.904, 6.836, 166.479, 0.000
2.040, 1.177, -8.826, 7.402, 167.097, 0.000
2.118, 1.138, -8.826, 7.144, 166.611, 0.000
2.079, 1.177, -8.787, 7.426, 166.802, 0.000
2.040, 1.177, -9.061, 7.221, 167.416, 0.000
2.079, 1.138, -8.826, 7.151, 166.850, 0.000
2.040, 1.138, -8.826, 7.158, 167.090, 0.000
2.079, 1.138, -8.826, 7.151, 166.850, 0.000
2.040, 1.177, -8.826, 7.402, 167.097, 0.000
2.001, 1.138, -8.787, 7.195, 167.276, 0.000
2.040, 1.138, -8.826, 7.158, 167.090, 0.000
2.118, 1.177, -8.787, 7.418, 166.562, 0.000
2.040, 1.255, -8.904, 7.824, 167.220, 0.000
2.118, 1.177, -8.787, 7.418, 166.562, 0.000
2.079, 1.098, -8.904, 6.849, 166.953, 0.000
5.766, 1.648, -10.042, 8.097, 150.462, 0.000
-0.039, -5.296, -6.904, -37.489, -179.742, 0.000
0.078, -7.885, -3.334, -67.072, 179.475, 0.000
0.941, -6.904, -0.510, -81.185, 172.256, 0.000
3.805, -9.964, -2.001, -66.662, 159.473, 0.000
7.885, -16.004, -1.765, -63.213, 153.910, 0.000
7.610, -8.434, -3.413, -45.320, 140.090, 0.000
7.218, -5.296, -3.570, -33.331, 131.503, 0.000
11.140, -3.020, -5.688, -13.576, 120.032, 0.000
7.139, -1.648, -5.139, -10.608, 127.085, 0.000
8.081, -2.511, -9.689, -11.254, 141.084, 0.000
3.452, -2.824, -3.256, -30.761, 141.309, 0.000
